State,MethAcq,Drug,Nt Wt,Potency,NtWt*Potency,PricePerCocGram,Seize Year,Seize Month,Price,StudyMonth
AK,P,COCAINE HYDROCHLORIDE,0.8,68.09941936,0.544795355,233.1150566,1997,9,127,33
AK,P,COCAINE HYDROCHLORIDE,4.8,87.39681443,4.195047093,236.9460886,2002,9,994,93
AK,P,COCAINE HYDROCHLORIDE,55,23.62163993,12.99190196,98.67685298,2003,9,1282,105
AK,P,COCAINE HYDROCHLORIDE,53.3,59.05063098,31.47398631,57.34894786,1996,8,1805,20
AK,P,COCAINE HYDROCHLORIDE,82.5,48.98772334,40.41487175,92.71339577,1997,9,3747,33
AK,P,COCAINE HYDROCHLORIDE,82.6,53.10641792,43.86590121,13.76923723,2004,7,604,115
AK,P,COCAINE HYDROCHLORIDE,207.3,59.84843247,124.0658005,68.76995888,2001,7,8532,79
AK,P,COCAINE HYDROCHLORIDE,27.4,38.38703387,10.51804728,98.4973705,1996,11,1036,23
AK,P,COCAINE HYDROCHLORIDE,71.8,90.46868377,64.95651494,38.24096786,2001,4,2484,76
AK,P,COCAINE HYDROCHLORIDE,251.2,60.20928695,151.2457288,65.04646496,1999,3,9838,51
AK,P,COCAINE HYDROCHLORIDE,166.1,64.76600451,107.5763335,56.45293721,2005,2,6073,122
AK,P,COCAINE HYDROCHLORIDE,25.2,84.25103332,21.2312604,45.7344492,1996,11,971,23
AK,P,COCAINE HYDROCHLORIDE,24.7,75.41899196,18.62849101,70.80552038,1998,11,1319,47
AK,P,COCAINE HYDROCHLORIDE,90.3,42.81389286,38.66094525,73.12288878,2000,6,2827,66
AK,P,COCAINE HYDROCHLORIDE,250.3,89.98842559,225.2410293,31.69937566,1998,11,7140,47
AK,P,COCAINE HYDROCHLORIDE,80.7,66.07887209,53.32564977,74.61699983,2001,1,3979,73
AK,P,COCAINE HYDROCHLORIDE,502.9,0,0,#DIV/0!,1998,11,15807,47
AK,P,COCAINE HYDROCHLORIDE,26.9,0,0,#DIV/0!,1997,7,1282,31
AK,P,COCAINE HYDROCHLORIDE,27.5,44.04500863,12.11237737,135.8114885,2004,2,1645,110
AK,P,COCAINE HYDROCHLORIDE,4.2,80.33663382,3.37413862,159.4481023,2002,4,538,88
AL,P,COCAINE HYDROCHLORIDE,2.97,66.48036819,1.974466935,153.4591411,1998,6,303,42
AL,P,COCAINE HYDROCHLORIDE,12.41,24.31556734,3.017561906,357.5734429,2002,12,1079,96
AL,P,COCAINE HYDROCHLORIDE,26.9,73.67976003,19.81985545,58.27489524,1995,1,1155,1
AL,P,COCAINE HYDROCHLORIDE,25.4,88.9603769,22.59593573,83.90889505,2004,1,1896,109
AL,P,COCAINE HYDROCHLORIDE,2.87,26.35941027,0.756515075,311.9567711,1996,6,236,18
AL,P,COCAINE HYDROCHLORIDE,6.8,54.64268527,3.715702599,108.4586264,1996,1,403,13
AL,P,COCAINE HYDROCHLORIDE,13.6,23.52463839,3.199350821,323.1905652,1996,11,1034,23
AL,P,COCAINE HYDROCHLORIDE,13.2,15.62002563,2.061843383,489.8529191,2002,10,1010,94
AL,P,COCAINE HYDROCHLORIDE,15.5,19.58428477,3.035564139,31.29566554,1998,7,95,43
AL,P,COCAINE HYDROCHLORIDE,55.8,71.94798726,40.14697689,6.476203693,1997,8,260,32
AL,P,COCAINE HYDROCHLORIDE,3.54,23.84776063,0.844210726,370.7605106,1996,11,313,23
AL,P,COCAINE HYDROCHLORIDE,6.8,21.66567282,1.473265752,395.0407449,2005,3,582,123
AL,P,COCAINE HYDROCHLORIDE,6.6,83.12491805,5.486244591,101.1620956,1996,2,555,14
AL,P,COCAINE HYDROCHLORIDE,42.3,76.20963872,32.23667718,92.84455664,2000,10,2993,70
AL,P,COCAINE HYDROCHLORIDE,31.8,81.70224504,25.98131392,85.67696024,1997,9,2226,33
AL,P,COCAINE HYDROCHLORIDE,0.72,7.4657253,0.053753222,1897.560665,1997,4,102,28
AL,P,COCAINE HYDROCHLORIDE,14.14,28.58582225,4.042035266,80.15763808,1996,12,324,24
AL,P,COCAINE HYDROCHLORIDE,55.81,96.64393538,53.93698033,31.27724225,2000,4,1687,64
AL,P,COCAINE HYDROCHLORIDE,56,52.53079573,29.41724561,98.88757222,2004,9,2909,117
AL,P,COCAINE HYDROCHLORIDE,2.814,10.14867226,0.285583637,640.793015,2004,1,183,109
AL,P,COCAINE HYDROCHLORIDE,3.244,57.22861402,1.856496239,189.6044779,2001,9,352,81
AL,P,COCAINE HYDROCHLORIDE,55.15,81.12692367,44.7414984,73.62292542,1997,7,3294,31
AL,P,COCAINE HYDROCHLORIDE,29.01,82.13713813,23.82798377,45.82846834,1999,5,1092,53
AL,P,COCAINE HYDROCHLORIDE,24.8,96.11300691,23.83602571,61.71330815,1998,8,1471,44
AL,P,COCAINE HYDROCHLORIDE,56.6,80.53923369,45.58520627,44.22487392,2000,4,2016,64
AL,P,COCAINE HYDROCHLORIDE,51.3,89.84403466,46.08998978,47.45065057,1995,2,2187,2
AL,P,COCAINE HYDROCHLORIDE,56.8,92.13304298,52.33156841,37.56814595,2003,10,1966,106
AL,P,COCAINE HYDROCHLORIDE,0.4598,98.78630798,0.454219444,118.8852672,1995,10,54,10
AL,P,COCAINE HYDROCHLORIDE,1.139,92.99961416,1.059265605,32.0977098,2005,11,34,131
AL,P,COCAINE HYDROCHLORIDE,1.3443,90.55045342,1.217269745,89.54465551,2004,12,109,120
AL,P,COCAINE HYDROCHLORIDE,24.4,22.73023414,5.54617713,236.5593397,2001,8,1312,80
AL,P,COCAINE HYDROCHLORIDE,51.7,60.31315241,31.1818998,88.8977265,1997,12,2772,36
AL,P,COCAINE HYDROCHLORIDE,0.35,24.76096025,0.086663361,576.9450837,2003,5,50,101
AL,P,COCAINE HYDROCHLORIDE,2.04,29.20767581,0.595836587,134.2650012,1999,7,80,55
AL,P,COCAINE HYDROCHLORIDE,0.355,38.09180552,0.13522591,140.505618,1999,9,19,57
AL,P,COCAINE HYDROCHLORIDE,0.4,96.22428807,0.384897152,137.6991222,1997,4,53,28
AL,P,COCAINE HYDROCHLORIDE,0.298,54.77681329,0.163234904,655.4970637,1995,9,107,9
AL,P,COCAINE HYDROCHLORIDE,0.649,35.44820203,0.230058831,465.0984248,1999,7,107,55
AL,P,COCAINE HYDROCHLORIDE,0.58,31.51419585,0.182782336,585.3957356,1998,11,107,47
AL,P,COCAINE HYDROCHLORIDE,0.9,102.472971,0.922256739,111.6825669,1995,8,103,8
AL,P,COCAINE HYDROCHLORIDE,0.92,31.40723584,0.28894657,179.9640676,1997,5,52,29
AL,P,COCAINE HYDROCHLORIDE,0.8,38.45081726,0.307606538,341.3451504,2004,1,105,109
AL,P,COCAINE HYDROCHLORIDE,3.5,82.97851909,2.904248168,144.6157407,2003,11,420,107
AL,P,COCAINE HYDROCHLORIDE,0.49,23.07110577,0.113048418,583.8206407,2005,2,66,122
AL,P,COCAINE HYDROCHLORIDE,1.96,90.34926671,1.770845628,178.4458199,2003,4,316,100
AL,P,COCAINE HYDROCHLORIDE,29.6,79.2786151,23.46647007,64.00621804,1995,9,1502,9
AL,P,COCAINE HYDROCHLORIDE,0.25,84.37869821,0.210946746,14.22159888,1997,1,3,25
AL,P,COCAINE HYDROCHLORIDE,28.1,56.10202158,15.76466806,55.82102943,2005,9,880,129
AL,P,COCAINE HYDROCHLORIDE,70.3,88.41836278,62.15810904,53.05824214,2004,9,3298,117
AL,P,COCAINE HYDROCHLORIDE,48.5,92.4248493,44.82605191,53.74107014,1996,5,2409,17
AL,P,COCAINE HYDROCHLORIDE,0.56,87.64572279,0.490816048,321.9128648,2004,6,158,114
AL,P,COCAINE HYDROCHLORIDE,24.22,24.76724035,5.998625612,25.17243278,2000,12,151,72
AL,P,COCAINE HYDROCHLORIDE,502.9,80.32666774,403.9628121,31.10434828,1996,8,12565,20
AL,P,COCAINE HYDROCHLORIDE,1.53,11.78853072,0.18036452,1153.220156,2003,4,208,100
AL,P,COCAINE HYDROCHLORIDE,21.42,94.20992738,20.17976644,54.95603743,1995,4,1109,4
AL,P,COCAINE HYDROCHLORIDE,16.42,93.0258384,15.27484267,3.731625997,2004,8,57,116
AL,P,COCAINE HYDROCHLORIDE,25.48,93.90598563,23.92724514,65.78275062,2001,8,1574,80
AL,P,COCAINE HYDROCHLORIDE,0.55,73.00513064,0.401528219,251.5389837,2000,11,101,71
AL,P,COCAINE HYDROCHLORIDE,0.42,94.02909746,0.394922209,207.6358282,2000,11,82,71
AL,P,COCAINE HYDROCHLORIDE,1.8,69.80542292,1.256497612,223.6375121,1999,5,281,53
AL,P,COCAINE HYDROCHLORIDE,0.7,83.99174516,0.587942216,122.4610141,2005,8,72,128
AL,P,COCAINE HYDROCHLORIDE,11.84,96.70450298,11.44981315,135.1113751,2005,8,1547,128
AL,P,COCAINE HYDROCHLORIDE,1.19,79.7752095,0.949324993,242.2774094,2001,11,230,83
AL,P,COCAINE HYDROCHLORIDE,28.7,77.60984108,22.27402439,45.11982129,2002,12,1005,96
AL,P,COCAINE HYDROCHLORIDE,26.3,35.91165562,9.444765429,109.5845109,2000,3,1035,63
AL,P,COCAINE HYDROCHLORIDE,25.6,96.89577564,24.80531856,53.41596386,2001,2,1325,74
AL,P,COCAINE HYDROCHLORIDE,26.8,24.57367683,6.58574539,20.04328928,1998,5,132,41
AL,P,COCAINE HYDROCHLORIDE,25.6,41.1725176,10.54016451,129.0302442,2004,3,1360,111
AL,P,COCAINE HYDROCHLORIDE,3.16,98.76641081,3.121018581,194.8081961,2003,9,608,105
AL,P,COCAINE HYDROCHLORIDE,10.5,82.25300119,8.636565125,116.3657062,2000,5,1005,65
AL,P,COCAINE HYDROCHLORIDE,145.5,67.60560957,98.36616192,80.89163839,1997,6,7957,30
AL,P,COCAINE HYDROCHLORIDE,2.6,0,0,#DIV/0!,2002,5,664,89
AL,P,COCAINE HYDROCHLORIDE,11.7,64.9074454,7.594171111,92.43931822,1997,4,702,28
AL,P,COCAINE HYDROCHLORIDE,18.9,100.3086278,18.95833066,62.71649237,1998,12,1189,48
AL,P,COCAINE HYDROCHLORIDE,26.4,56.41292958,14.89301341,76.21023153,2004,7,1135,115
AL,P,COCAINE HYDROCHLORIDE,3.8,81.33983974,3.09091391,134.9115544,2002,2,417,86
AL,P,COCAINE HYDROCHLORIDE,25.9,68.82991931,17.8269491,60.13367705,2001,12,1072,84
AL,P,COCAINE HYDROCHLORIDE,17.1,77.60032245,13.26965514,80.48438251,1999,11,1068,59
AL,P,COCAINE HYDROCHLORIDE,20.9,45.15640471,9.437688584,13.24476845,2005,2,125,122
AL,P,COCAINE HYDROCHLORIDE,10.2,67.3037342,6.864980889,71.08541275,1996,1,488,13
AL,P,COCAINE HYDROCHLORIDE,43.2,57.37352162,24.78536134,17.79276057,1999,6,441,54
AL,P,COCAINE HYDROCHLORIDE,7.5,78.22929134,5.86719685,88.6283541,2004,7,520,115
AL,P,COCAINE HYDROCHLORIDE,9.4,87.71780366,8.245473544,76.5268358,2002,4,631,88
AL,P,COCAINE HYDROCHLORIDE,22.4,92.47371088,20.71411124,52.47630408,2004,1,1087,109
AL,P,COCAINE HYDROCHLORIDE,6.4,57.18316434,3.659722518,46.72485391,1997,8,171,32
AL,P,COCAINE HYDROCHLORIDE,18.5,80.49827033,14.89218001,70.90969886,2004,9,1056,117
AL,P,COCAINE HYDROCHLORIDE,48.3,57.57909782,27.81070425,58.79031273,2005,1,1635,121
AL,P,COCAINE HYDROCHLORIDE,16.3,82.75900944,13.48971854,70.27574351,2002,4,948,88
AL,P,COCAINE HYDROCHLORIDE,18,82.84944028,14.91289925,49.6885272,2001,2,741,74
AL,P,COCAINE HYDROCHLORIDE,51.2,50.10019381,25.65129923,82.41297959,1998,4,2114,40
AL,P,COCAINE HYDROCHLORIDE,0.38,51.45450427,0.195527116,562.5818154,1997,10,110,34
AL,P,COCAINE HYDROCHLORIDE,5.77,84.89922713,4.898685405,56.34164621,2004,2,276,110
AL,P,COCAINE HYDROCHLORIDE,4.98,21.80406929,1.085842651,276.2831242,1997,4,300,28
AL,P,COCAINE HYDROCHLORIDE,26.4,83.90098478,22.14985998,0.135441037,2002,7,3,91
AL,P,COCAINE HYDROCHLORIDE,42.1,82.17956145,34.59759537,55.55299377,2002,7,1922,91
AL,P,COCAINE HYDROCHLORIDE,7.2,81.38428319,5.859668389,6.655666739,2001,2,39,74
AL,P,COCAINE HYDROCHLORIDE,9.7,56.05332421,5.437172448,115.1333724,1995,7,626,7
AL,P,COCAINE HYDROCHLORIDE,12.8,88.86814735,11.37512286,16.96684971,2001,6,193,78
AL,P,COCAINE HYDROCHLORIDE,11.9,83.4023542,9.924880149,57.53218088,2001,10,571,82
AL,P,COCAINE HYDROCHLORIDE,12.1,38.40480183,4.646981021,103.938449,2003,1,483,97
AL,P,COCAINE HYDROCHLORIDE,77.9,53.59772791,41.75263004,72.01941523,1996,2,3007,14
AL,P,COCAINE HYDROCHLORIDE,77.5,7.678057238,5.95049436,527.8553025,2004,5,3141,113
AL,P,COCAINE HYDROCHLORIDE,2.5,85.22046698,2.130511675,167.09601,1998,9,356,45
AL,P,COCAINE HYDROCHLORIDE,7.6,87.80649743,6.673293805,78.3720926,2000,5,523,65
AL,P,COCAINE HYDROCHLORIDE,25.5,82.42712022,21.01891566,36.20548331,2001,3,761,75
AL,P,COCAINE HYDROCHLORIDE,0.77,32.31937417,0.248859181,409.8703514,2005,10,102,130
AL,P,COCAINE HYDROCHLORIDE,0.63,47.67479748,0.300351224,409.520555,1995,6,123,6
AL,P,COCAINE HYDROCHLORIDE,0.8,87.20158689,0.697612695,154.8136964,1998,2,108,38
AL,P,COCAINE HYDROCHLORIDE,12.3,50.19531794,6.174024107,22.18974167,2002,7,137,91
AL,P,COCAINE HYDROCHLORIDE,23.4,76.00066403,17.78415538,58.64771071,1998,12,1043,48
AL,P,COCAINE HYDROCHLORIDE,23.3,33.85228954,7.887583463,133.8813091,1998,6,1056,42
AL,P,COCAINE HYDROCHLORIDE,0.4,82.40276055,0.329611042,324.6250468,1995,9,107,9
AL,P,COCAINE HYDROCHLORIDE,10.2,86.44542245,8.81743309,74.05783445,2003,2,653,98
AL,P,COCAINE HYDROCHLORIDE,21.2,20.69797707,4.387971138,234.2768372,1999,5,1028,53
AL,P,COCAINE HYDROCHLORIDE,21.9,54.96545969,12.03743567,93.20922085,2000,5,1122,65
AL,P,COCAINE HYDROCHLORIDE,36,31.39359292,11.30169345,112.4610224,2005,7,1271,127
AL,P,COCAINE HYDROCHLORIDE,56.5,40.97095818,23.14859137,6.393477582,1998,9,148,45
AL,P,COCAINE HYDROCHLORIDE,0.44,94.34081692,0.415099594,105.9986581,1996,6,44,18
AL,P,COCAINE HYDROCHLORIDE,0.62,87.50437035,0.542527096,36.86451818,1998,9,20,45
AL,P,COCAINE HYDROCHLORIDE,1.8,78.42801439,1.411704259,114.0465497,1997,1,161,25
AL,P,COCAINE HYDROCHLORIDE,1.7,96.83930979,1.646268266,156.7180789,1999,12,258,60
AL,P,COCAINE HYDROCHLORIDE,14.7,51.75563274,7.608078013,100.8138979,2005,2,767,122
AL,P,COCAINE HYDROCHLORIDE,12.5,73.16420549,9.145525687,111.2019183,2000,1,1017,61
AL,P,COCAINE HYDROCHLORIDE,24.5,23.91726046,5.859728813,2.218532703,2005,10,13,130
AL,P,COCAINE HYDROCHLORIDE,23.9,28.0922091,6.714037976,170.9850323,1996,12,1148,24
AL,P,COCAINE HYDROCHLORIDE,17.9,88.75198961,15.88660614,76.29068092,1995,10,1212,10
AL,P,COCAINE HYDROCHLORIDE,25.4,67.20691942,17.07055753,150.7859363,2004,7,2574,115
AL,P,COCAINE HYDROCHLORIDE,47.1,23.55943543,11.09649409,203.1272204,1996,7,2254,19
AL,P,COCAINE HYDROCHLORIDE,38.3,78.34365645,30.00562042,165.3690186,1996,10,4962,22
AL,P,COCAINE HYDROCHLORIDE,52.2,70.48392548,36.7926091,128.531249,2004,7,4729,115
AL,P,COCAINE HYDROCHLORIDE,21.7,58.72907194,12.74420861,77.52541017,1999,9,988,57
AL,P,COCAINE HYDROCHLORIDE,6.8,89.67503101,6.097902109,88.06307324,2002,10,537,94
AL,P,COCAINE HYDROCHLORIDE,15,82.54010312,12.38101547,76.32653416,2001,10,945,82
AL,P,COCAINE HYDROCHLORIDE,40.8,49.74008737,20.29395565,58.98307954,1997,7,1197,31
AL,P,COCAINE HYDROCHLORIDE,127.2,87.86942527,111.7699089,32.1285043,1997,5,3591,29
AL,P,COCAINE HYDROCHLORIDE,2.9,57.29969208,1.66169107,170.9102282,2000,3,284,63
AL,P,COCAINE HYDROCHLORIDE,24.3,60.57458618,14.71962444,57.2704829,1998,5,843,41
AL,P,COCAINE HYDROCHLORIDE,24.2,41.14142792,9.956225556,101.7453848,2001,2,1013,74
AL,P,COCAINE HYDROCHLORIDE,152.8,35.88273731,54.82882262,55.09875748,1998,6,3021,42
AL,P,COCAINE HYDROCHLORIDE,109.3,10.27755621,11.23336894,366.1412726,1995,12,4113,12
AL,P,COCAINE HYDROCHLORIDE,6.43,73.82658817,4.747049619,60.45860545,1997,6,287,30
AL,P,COCAINE HYDROCHLORIDE,2.13,92.41640866,1.968469504,130.0502748,1998,10,256,46
AL,P,COCAINE HYDROCHLORIDE,2.5,64.83758939,1.620939735,190.6301594,1995,5,309,5
AL,P,COCAINE HYDROCHLORIDE,3.38,90.18184157,3.048146245,104.325703,1996,7,318,19
AL,P,COCAINE HYDROCHLORIDE,2.83,91.48980818,2.589161572,123.9783579,2004,3,321,111
AL,P,COCAINE HYDROCHLORIDE,9.35,40.31531615,3.76948206,89.93277978,2005,2,339,122
AL,P,COCAINE HYDROCHLORIDE,23.8,39.62973576,9.431877111,93.08857501,2001,12,878,84
AL,P,COCAINE HYDROCHLORIDE,24.9,50.16834499,12.4919179,73.72766994,2004,10,921,118
AL,P,COCAINE HYDROCHLORIDE,19.9,8.456332435,1.682810155,604.9404903,1995,6,1018,6
AL,P,COCAINE HYDROCHLORIDE,20.4,75.64785292,15.432162,44.38781813,2002,5,685,89
AL,P,COCAINE HYDROCHLORIDE,80,42.57820086,34.06256069,134.7226957,2005,4,4589,124
AL,P,COCAINE HYDROCHLORIDE,19.2,73.45561463,14.10347801,87.70886154,1996,12,1237,24
AL,P,COCAINE HYDROCHLORIDE,214.2,68.10450766,145.8798554,54.3940764,2001,7,7935,79
AL,P,COCAINE HYDROCHLORIDE,2.32,60.53605821,1.40443655,131.7254239,1998,5,185,41
AL,P,COCAINE HYDROCHLORIDE,27.7,51.69803508,14.32035572,52.1635087,1995,2,747,2
AL,P,COCAINE HYDROCHLORIDE,9.6,68.90123889,6.614518933,130.0170139,2001,5,860,77
AL,P,COCAINE HYDROCHLORIDE,27.2,69.00731113,18.76998863,48.58820205,1999,6,912,54
AL,P,COCAINE HYDROCHLORIDE,64.3,91.28005874,58.69307777,54.19719191,2001,6,3181,78
AL,P,COCAINE HYDROCHLORIDE,0.142,76.920019,0.109226427,393.6776217,2003,1,43,97
AL,P,COCAINE HYDROCHLORIDE,0.516,94.57461023,0.488004989,217.2108942,1996,11,106,23
AL,P,COCAINE HYDROCHLORIDE,1.23,91.88816442,1.130224422,179.6103464,1996,5,203,17
AL,P,COCAINE HYDROCHLORIDE,21.4,11.03669703,2.361853164,386.1374678,2005,3,912,123
AL,P,COCAINE HYDROCHLORIDE,23.6,55.60683407,13.12321284,71.0191941,2003,12,932,108
AL,P,COCAINE HYDROCHLORIDE,34.9,45.94150224,16.03358428,78.46031042,1998,10,1258,46
AL,P,COCAINE HYDROCHLORIDE,22.5,84.44016813,18.99903783,43.47588585,1996,8,826,20
AL,P,COCAINE HYDROCHLORIDE,19.1,65.0678485,12.42795906,88.18825314,2001,5,1096,77
AL,P,COCAINE HYDROCHLORIDE,33.3,32.18117372,10.71633085,117.950819,1995,8,1264,8
AL,P,COCAINE HYDROCHLORIDE,6.4,84.51105698,5.408707647,20.89223663,1996,2,113,14
AL,P,COCAINE HYDROCHLORIDE,9.9,62.03049909,6.14101941,85.49069217,2000,7,525,67
AL,P,COCAINE HYDROCHLORIDE,23.8,87.87433826,20.91409251,16.01790754,1995,11,335,11
AL,P,COCAINE HYDROCHLORIDE,13.6,86.84864196,11.81141531,77.63675869,1997,1,917,25
AL,P,COCAINE HYDROCHLORIDE,20.1,65.29209468,13.12371103,80.8460349,2002,8,1061,92
AL,P,COCAINE HYDROCHLORIDE,8.5,70.28754022,5.974440919,88.20909055,2001,3,527,75
AL,P,COCAINE HYDROCHLORIDE,39.6,71.47841177,28.30545106,52.60470843,2004,4,1489,112
AL,P,COCAINE HYDROCHLORIDE,1.14,30.66743076,0.349608711,572.0681261,2003,1,200,97
AL,P,COCAINE HYDROCHLORIDE,1.49,71.51268146,1.065538954,197.0833626,2003,7,210,103
AL,P,COCAINE HYDROCHLORIDE,76.7,81.15656859,62.24708811,7.389903913,2000,5,460,65
AL,P,COCAINE HYDROCHLORIDE,8.9,63.14883973,5.620246736,78.28837784,1995,10,440,10
AL,P,COCAINE HYDROCHLORIDE,9.9,82.469613,8.164491687,36.86696142,2000,12,301,72
AL,P,COCAINE HYDROCHLORIDE,1.1,99.67470121,1.096421713,539.9382307,1997,8,592,32
AL,P,COCAINE HYDROCHLORIDE,12.9,22.97737568,2.964081463,211.1952751,2001,6,626,78
AL,P,COCAINE HYDROCHLORIDE,22.3,13.9423345,3.109140593,299.4396593,1996,6,931,18
AL,P,COCAINE HYDROCHLORIDE,113.1,45.80038184,51.80023186,136.7754496,1997,9,7085,33
AL,P,COCAINE HYDROCHLORIDE,43.8,73.68552281,32.27425899,64.6335521,1995,11,2086,11
AL,P,COCAINE HYDROCHLORIDE,123.9,84.12236394,104.2276089,28.29384681,2001,2,2949,74
AL,P,COCAINE HYDROCHLORIDE,98.6,52.56716356,51.83122327,70.9225013,1996,6,3676,18
AL,P,COCAINE HYDROCHLORIDE,0.522,90.77079571,0.473823554,52.76225677,1995,7,25,7
AL,P,COCAINE HYDROCHLORIDE,10.4,88.63423822,9.217960775,19.63557932,2002,1,181,85
AL,P,COCAINE HYDROCHLORIDE,9.6,64.10501002,6.154080962,99.2837117,1999,4,611,52
AL,P,COCAINE HYDROCHLORIDE,25.2,93.75418456,23.62605451,41.47963003,2001,9,980,81
AL,P,COCAINE HYDROCHLORIDE,50.5,31.0444385,15.67744144,135.9915779,2004,9,2132,117
AL,P,COCAINE HYDROCHLORIDE,0.7,0,0,#DIV/0!,2000,3,110,63
AL,P,COCAINE HYDROCHLORIDE,0.88,56.70053136,0.498964676,214.4440381,2002,1,107,85
AL,P,COCAINE HYDROCHLORIDE,0.84,81.42224444,0.683946853,76.02929927,2002,5,52,89
AL,P,COCAINE HYDROCHLORIDE,7.4,47.23499487,3.495389621,71.52278491,1999,2,250,50
AL,P,COCAINE HYDROCHLORIDE,11.5,69.78665003,8.025464754,65.1675655,1999,1,523,49
AL,P,COCAINE HYDROCHLORIDE,19.6,99.72564556,19.54622653,48.60273151,2000,4,950,64
AL,P,COCAINE HYDROCHLORIDE,23.4,87.53498537,20.48318658,31.04985631,2000,11,636,71
AL,P,COCAINE HYDROCHLORIDE,54,47.23292113,25.50577741,82.45190752,1999,10,2103,58
AL,P,COCAINE HYDROCHLORIDE,70,87.47037768,61.22926438,41.85906896,2003,11,2563,107
AL,P,COCAINE HYDROCHLORIDE,47.4,58.03322465,27.50774849,71.54347805,2002,4,1968,88
AL,P,COCAINE HYDROCHLORIDE,70.6,42.70373024,30.14883355,90.88245473,1995,3,2740,3
AL,P,COCAINE HYDROCHLORIDE,109.4,50.53739939,55.28791493,63.08792806,2000,7,3488,67
AL,P,COCAINE HYDROCHLORIDE,100.4,51.0693875,51.27366505,1.365223257,1999,1,70,49
AL,P,COCAINE HYDROCHLORIDE,17.4,82.25862503,14.31300076,72.87081289,1998,1,1043,37
AL,P,COCAINE HYDROCHLORIDE,107.7,52.45467615,56.49368622,67.70668115,2005,9,3825,129
AL,P,COCAINE HYDROCHLORIDE,1002,90.71319978,908.9462618,25.70559007,2000,12,23365,72
AL,P,COCAINE HYDROCHLORIDE,28,71.42753583,19.99971003,57.00082642,1998,11,1140,47
AL,P,COCAINE HYDROCHLORIDE,48.1,54.97327117,26.44214343,80.59104609,1997,2,2131,26
AL,P,COCAINE HYDROCHLORIDE,47.9,14.93130437,7.152094793,270.9695629,2000,1,1938,61
AL,P,COCAINE HYDROCHLORIDE,1.9,82.76369808,1.572510263,0.635925897,2002,8,1,92
AL,P,COCAINE HYDROCHLORIDE,18.4,38.5894932,7.100466748,134.9207079,1997,2,958,26
AL,P,COCAINE HYDROCHLORIDE,22.6,91.04922243,20.57712427,52.09668688,1999,12,1072,60
AL,P,COCAINE HYDROCHLORIDE,23.4,46.88096623,10.9701461,117.86534,2000,10,1293,70
AL,P,COCAINE HYDROCHLORIDE,19.9,6.689304225,1.331171541,1006.632097,2005,12,1340,132
AL,P,COCAINE HYDROCHLORIDE,34.6,34.68235651,12.00009535,132.4156145,1996,11,1589,23
